normalized_label,display_labels_seen,occurrence_count,current_category,current_action,existing_matches,fuzzy_matches,recommended_action,recommended_product_code_id,recommended_product_code_code,recommended_product_code_description,confidence,requires_human_approval,decision_notes
compliance fee,Compliance Fee (8),8,ALIAS_MAPPING_REQUIRED,create_alias,,,CREATE_ALIAS_MAPPING,,,,MEDIUM,true,"Catalogue or canonical hint exists, but this source label still needs an explicit alias decision. Requires explicit human review and approval before mapping is finalized."
air transfer fee,Air Transfer Fee (7),7,NEW_PRODUCTCODE_REQUIRED,create_new_product_code,,DOM-FRT-AIR - Domestic Air Freight (ID: 3001); EXP-FRT-AIR - Export Air Freight (ID: 1001); EXP-FSC-AIR - Airline Export Fuel Surcharge (ID: 1002); IMP-FRT-AIR - Import Air Freight (ID: 2001),CREATE_NEW_PRODUCT_CODE,,,,MEDIUM,true,No safe existing ProductCode mapping was found for a repeated or requested unresolved label. Requires explicit human review and approval before mapping is finalized.
edi fee,EDI Fee (7),7,ALIAS_MAPPING_REQUIRED,create_alias,,,CREATE_ALIAS_MAPPING,,,,MEDIUM,true,"Catalogue or canonical hint exists, but this source label still needs an explicit alias decision. Requires explicit human review and approval before mapping is finalized."
terminal handling charge,Terminal Handling Charge (6),6,ALIAS_MAPPING_REQUIRED,create_alias,,DOM-TERMINAL - Terminal Fee (ID: 3011); EXP-TERM - Export Terminal Fee (ID: 1030); IMP-CTO-ORIGIN - Cargo Terminal Operator Fee (Origin) (ID: 2030),CREATE_ALIAS_MAPPING,3011,DOM-TERMINAL,Terminal Fee,MEDIUM,true,"Catalogue or canonical hint exists, but this source label still needs an explicit alias decision. Requires explicit human review and approval before mapping is finalized."
airport security fee,Airport Security Fee (5),5,NEW_PRODUCTCODE_REQUIRED,create_new_product_code,,,CREATE_NEW_PRODUCT_CODE,,,,MEDIUM,true,No safe existing ProductCode mapping was found for a repeated or requested unresolved label. Requires explicit human review and approval before mapping is finalized.
airfreight akl – pom via px(bne),"Airfreight AKL – POM via PX(BNE) (3); Airfreight AKL 
– POM via PX(BNE) (1)",4,ALIAS_MAPPING_REQUIRED,create_alias,,,CREATE_ALIAS_MAPPING,,,,MEDIUM,true,"Catalogue or canonical hint exists, but this source label still needs an explicit alias decision. Requires explicit human review and approval before mapping is finalized."
pick up - metro area,Pick Up - metro area (4),4,ALIAS_MAPPING_REQUIRED,create_alias,,DOM-PICKUP - Pickup / Collection (ID: 3050); EXP-PICKUP - Export Pickup/Collection (ID: 1050); EXP-FSC-PICKUP - Export Fuel Surcharge on Pickup (ID: 1060); IMP-PICKUP - Pick-Up Fee (Origin) (ID: 2050); IMP-FSC-PICKUP - Pick-Up Fuel Surcharge (ID: 2060),CREATE_ALIAS_MAPPING,3050,DOM-PICKUP,Pickup / Collection,MEDIUM,true,"Catalogue or canonical hint exists, but this source label still needs an explicit alias decision. Requires explicit human review and approval before mapping is finalized."
px awb fee,PX AWB FEE (4),4,ALIAS_MAPPING_REQUIRED,create_alias,,,CREATE_ALIAS_MAPPING,,,,MEDIUM,true,"Catalogue or canonical hint exists, but this source label still needs an explicit alias decision. Requires explicit human review and approval before mapping is finalized."
security fee,Security Fee (4),4,ALIAS_MAPPING_REQUIRED,create_alias,,DOM-SECURITY - Security Surcharge (ID: 3020); EXP-SCREEN - Export Security Screening (ID: 1040),CREATE_ALIAS_MAPPING,3020,DOM-SECURITY,Security Surcharge,MEDIUM,true,"Catalogue or canonical hint exists, but this source label still needs an explicit alias decision. Requires explicit human review and approval before mapping is finalized."
terminal handling fee,Terminal Handling Fee (4),4,ALIAS_MAPPING_REQUIRED,create_alias,,DOM-TERMINAL - Terminal Fee (ID: 3011); EXP-TERM - Export Terminal Fee (ID: 1030); IMP-CTO-ORIGIN - Cargo Terminal Operator Fee (Origin) (ID: 2030),CREATE_ALIAS_MAPPING,3011,DOM-TERMINAL,Terminal Fee,MEDIUM,true,"Catalogue or canonical hint exists, but this source label still needs an explicit alias decision. Requires explicit human review and approval before mapping is finalized."
x-ray*,X-ray* (4),4,ALIAS_MAPPING_REQUIRED,create_alias,,IMP-SCREEN-ORIGIN - X-Ray Screen Fee (Origin) (ID: 2040),CREATE_ALIAS_MAPPING,2040,IMP-SCREEN-ORIGIN,X-Ray Screen Fee (Origin),MEDIUM,true,"Catalogue or canonical hint exists, but this source label still needs an explicit alias decision. Requires explicit human review and approval before mapping is finalized."
cargo terminal operator fee (origin),Cargo Terminal Operator Fee (Origin) (3),3,ALIAS_MAPPING_REQUIRED,create_alias,,IMP-CTO-ORIGIN - Cargo Terminal Operator Fee (Origin) (ID: 2030),CREATE_ALIAS_MAPPING,2030,IMP-CTO-ORIGIN,Cargo Terminal Operator Fee (Origin),MEDIUM,true,"Catalogue or canonical hint exists, but this source label still needs an explicit alias decision. Requires explicit human review and approval before mapping is finalized."
import air freight,Import Air Freight (3),3,ALIAS_MAPPING_REQUIRED,create_alias,,IMP-FRT-AIR - Import Air Freight (ID: 2001),CREATE_ALIAS_MAPPING,2001,IMP-FRT-AIR,Import Air Freight,MEDIUM,true,"Catalogue or canonical hint exists, but this source label still needs an explicit alias decision. Requires explicit human review and approval before mapping is finalized."
import documentation fee (origin),Import Documentation Fee (Origin) (3),3,ALIAS_MAPPING_REQUIRED,create_alias,,IMP-DOC-ORIGIN - Import Documentation Fee (Origin) (ID: 2010),CREATE_ALIAS_MAPPING,2010,IMP-DOC-ORIGIN,Import Documentation Fee (Origin),MEDIUM,true,"Catalogue or canonical hint exists, but this source label still needs an explicit alias decision. Requires explicit human review and approval before mapping is finalized."
pick-up fee (origin),Pick-Up Fee (Origin) (3),3,ALIAS_MAPPING_REQUIRED,create_alias,,IMP-PICKUP - Pick-Up Fee (Origin) (ID: 2050),CREATE_ALIAS_MAPPING,2050,IMP-PICKUP,Pick-Up Fee (Origin),MEDIUM,true,"Catalogue or canonical hint exists, but this source label still needs an explicit alias decision. Requires explicit human review and approval before mapping is finalized."
import origin permit / license,Import Origin Permit / License (2),2,ALIAS_MAPPING_REQUIRED,create_alias,,IMP-PRM-ORIGIN - Import Origin Permit / License (ID: 2000),CREATE_ALIAS_MAPPING,2000,IMP-PRM-ORIGIN,Import Origin Permit / License,MEDIUM,true,"Catalogue or canonical hint exists, but this source label still needs an explicit alias decision. Requires explicit human review and approval before mapping is finalized."
cmd fee,CMD Fee (1),1,AMBIGUOUS_MANUAL_REVIEW_REQUIRED,leave_for_manual_review,,,MANUAL_REVIEW,,,,LOW,true,Label is too broad or source-specific for a bulk mapping recommendation. Requires explicit human review and approval before mapping is finalized.
dnata imp processing fee,DNATA Imp Processing Fee (1),1,AMBIGUOUS_MANUAL_REVIEW_REQUIRED,leave_for_manual_review,,,MANUAL_REVIEW,,,,LOW,true,Label is too broad or source-specific for a bulk mapping recommendation. Requires explicit human review and approval before mapping is finalized.
fsc,FSC (1),1,ALIAS_MAPPING_REQUIRED,create_alias,,DOM-FSC - Fuel Surcharge (ID: 3030); EXP-FSC-AIR - Airline Export Fuel Surcharge (ID: 1002); EXP-FSC-PICKUP - Export Fuel Surcharge on Pickup (ID: 1060); IMP-FSC-PICKUP - Pick-Up Fuel Surcharge (ID: 2060); IMP-FSC-CARTAGE-DEST - Cartage Fuel Surcharge (ID: 2080),CREATE_ALIAS_MAPPING,3030,DOM-FSC,Fuel Surcharge,MEDIUM,true,"Catalogue or canonical hint exists, but this source label still needs an explicit alias decision. Requires explicit human review and approval before mapping is finalized."
labour charge,Labour Charge (1),1,AMBIGUOUS_MANUAL_REVIEW_REQUIRED,leave_for_manual_review,,,MANUAL_REVIEW,,,,LOW,true,Label is too broad or source-specific for a bulk mapping recommendation. Requires explicit human review and approval before mapping is finalized.
permit fee,Permit Fee (1),1,ALIAS_MAPPING_REQUIRED,create_alias,,EXP-PRM-ORIGIN - Export Origin Permit / License (ID: 1900); IMP-PRM-ORIGIN - Import Origin Permit / License (ID: 2000),CREATE_ALIAS_MAPPING,1900,EXP-PRM-ORIGIN,Export Origin Permit / License,MEDIUM,true,"Catalogue or canonical hint exists, but this source label still needs an explicit alias decision. Requires explicit human review and approval before mapping is finalized."
service fee,Service Fee (1),1,AMBIGUOUS_MANUAL_REVIEW_REQUIRED,leave_for_manual_review,,,MANUAL_REVIEW,,,,LOW,true,Label is too broad or source-specific for a bulk mapping recommendation. Requires explicit human review and approval before mapping is finalized.
x-ray scanning fee,X-Ray Scanning Fee (1),1,AMBIGUOUS_MANUAL_REVIEW_REQUIRED,leave_for_manual_review,,,MANUAL_REVIEW,,,,LOW,true,Label is too broad or source-specific for a bulk mapping recommendation. Requires explicit human review and approval before mapping is finalized.
